month,division,line,day_type,reporting_category,subcategory,delays
2025-01-01,A DIVISION,2,2,Planned ROW Work,Subways Maintenance,128
2025-01-01,A DIVISION,2,2,Planned ROW Work,Work Equipment,10
2025-01-01,A DIVISION,2,2,Police & Medical,Persons on Roadbed,29
2025-01-01,A DIVISION,2,2,Police & Medical,"Public Conduct, Crime, Police Response",214
2025-01-01,A DIVISION,2,2,Police & Medical,Sick/Injured Customer,38
2025-01-01,A DIVISION,3,1,Crew Availability,Crew Availability,33
2025-01-01,A DIVISION,3,1,External Factors,External Agency or Utility,1
2025-01-01,A DIVISION,3,1,External Factors,External Debris on Roadbed,25
2025-01-01,A DIVISION,3,1,Infrastructure & Equipment,Braking,75
2025-01-01,A DIVISION,3,1,Infrastructure & Equipment,Door-Related,12
2025-01-01,A DIVISION,3,1,Infrastructure & Equipment,"Fire, Smoke, Debris",62
2025-01-01,A DIVISION,3,1,Infrastructure & Equipment,Other - Sig,145
2025-01-01,A DIVISION,3,1,Infrastructure & Equipment,Other Infrastructure,2
2025-01-01,A DIVISION,3,1,Infrastructure & Equipment,Other Internal Disruptions,6
2025-01-01,A DIVISION,3,1,Infrastructure & Equipment,Propulsion,12
2025-01-01,A DIVISION,3,1,Infrastructure & Equipment,Rail and Roadbed,39
2025-01-01,A DIVISION,3,1,Infrastructure & Equipment,Service Delivery,19
2025-01-01,A DIVISION,3,1,Infrastructure & Equipment,Train Brake Activation - Cause Unknown,29
2025-01-01,A DIVISION,3,1,Operating Conditions,Other Operating Environment,82
2025-01-01,A DIVISION,3,1,Planned ROW Work,Subways Maintenance,74
2025-01-01,A DIVISION,3,1,Planned ROW Work,Work Equipment,3
2025-01-01,A DIVISION,3,1,Police & Medical,Persons on Roadbed,142
2025-01-01,A DIVISION,3,1,Police & Medical,"Public Conduct, Crime, Police Response",317
2025-01-01,A DIVISION,3,1,Police & Medical,Sick/Injured Customer,88
2025-01-01,A DIVISION,3,2,Crew Availability,Crew Availability,14
2025-01-01,A DIVISION,3,2,External Factors,External Debris on Roadbed,3
2025-01-01,A DIVISION,3,2,Infrastructure & Equipment,Braking,11
2025-01-01,A DIVISION,3,2,Infrastructure & Equipment,Door-Related,6
2025-01-01,A DIVISION,3,2,Infrastructure & Equipment,"Fire, Smoke, Debris",5
2025-01-01,A DIVISION,3,2,Infrastructure & Equipment,Other - Sig,22
2025-01-01,A DIVISION,3,2,Infrastructure & Equipment,Other Infrastructure,2
2025-01-01,A DIVISION,3,2,Infrastructure & Equipment,Propulsion,23
2025-01-01,A DIVISION,3,2,Infrastructure & Equipment,Service Delivery,2
2025-01-01,A DIVISION,3,2,Operating Conditions,Other Operating Environment,90
2025-01-01,A DIVISION,3,2,Planned ROW Work,Capital Work - Other Planned ROW,91
2025-01-01,A DIVISION,3,2,Planned ROW Work,Subways Maintenance,95
2025-01-01,A DIVISION,3,2,Planned ROW Work,Work Equipment,1
2025-01-01,A DIVISION,3,2,Police & Medical,Persons on Roadbed,20
2025-01-01,A DIVISION,3,2,Police & Medical,"Public Conduct, Crime, Police Response",126
2025-01-01,A DIVISION,3,2,Police & Medical,Sick/Injured Customer,46
2025-01-01,A DIVISION,4,1,Crew Availability,Crew Availability,22
2025-01-01,A DIVISION,4,1,External Factors,External Agency or Utility,5
2025-01-01,A DIVISION,4,1,External Factors,External Debris on Roadbed,67
2025-01-01,A DIVISION,4,1,Infrastructure & Equipment,Braking,25
2025-01-01,A DIVISION,4,1,Infrastructure & Equipment,Door-Related,12
2025-01-01,A DIVISION,4,1,Infrastructure & Equipment,"Fire, Smoke, Debris",97
2025-01-01,A DIVISION,4,1,Infrastructure & Equipment,Other - CE,21
2025-01-01,A DIVISION,4,1,Infrastructure & Equipment,Other - Sig,187
2025-01-01,A DIVISION,4,1,Infrastructure & Equipment,Other Infrastructure,42
2025-01-01,A DIVISION,4,1,Infrastructure & Equipment,Other Internal Disruptions,47
2025-01-01,A DIVISION,4,1,Infrastructure & Equipment,Propulsion,5
2025-01-01,A DIVISION,4,1,Infrastructure & Equipment,Rail and Roadbed,13
2025-01-01,A DIVISION,4,1,Infrastructure & Equipment,Service Delivery,17
2025-01-01,A DIVISION,4,1,Infrastructure & Equipment,Train Brake Activation - Cause Unknown,8
2025-01-01,A DIVISION,4,1,Operating Conditions,Other Operating Environment,137
2025-01-01,A DIVISION,4,1,Planned ROW Work,Capital Work - Other Planned ROW,2
2025-01-01,A DIVISION,4,1,Planned ROW Work,Subways Maintenance,110
2025-01-01,A DIVISION,4,1,Planned ROW Work,Work Equipment,10
2025-01-01,A DIVISION,4,1,Police & Medical,Persons on Roadbed,137
2025-01-01,A DIVISION,4,1,Police & Medical,"Public Conduct, Crime, Police Response",516
2025-01-01,A DIVISION,4,1,Police & Medical,Sick/Injured Customer,141
2025-01-01,A DIVISION,4,2,Crew Availability,Crew Availability,14
2025-01-01,A DIVISION,4,2,Infrastructure & Equipment,Braking,2
2025-01-01,A DIVISION,4,2,Infrastructure & Equipment,Door-Related,4
2025-01-01,A DIVISION,4,2,Infrastructure & Equipment,"Fire, Smoke, Debris",4
2025-01-01,A DIVISION,4,2,Infrastructure & Equipment,Other - CE,3
2025-01-01,A DIVISION,4,2,Infrastructure & Equipment,Other - Sig,6
2025-01-01,A DIVISION,4,2,Infrastructure & Equipment,Rail and Roadbed,12
2025-01-01,A DIVISION,4,2,Infrastructure & Equipment,Service Delivery,26
