month,division,line,day_type,reporting_category,subcategory,delays
2025-01-01,B DIVISION,D,1,Infrastructure & Equipment,Service Delivery,16
2025-01-01,B DIVISION,D,1,Infrastructure & Equipment,Signal Modernization Capital Project,2
2025-01-01,B DIVISION,D,1,Infrastructure & Equipment,Train Brake Activation - Cause Unknown,10
2025-01-01,B DIVISION,D,1,Operating Conditions,Other Operating Environment,90
2025-01-01,B DIVISION,D,1,Planned ROW Work,Capital Work - Other Planned ROW,2
2025-01-01,B DIVISION,D,1,Planned ROW Work,Subways Maintenance,247
2025-01-01,B DIVISION,D,1,Planned ROW Work,Work Equipment,81
2025-01-01,B DIVISION,D,1,Police & Medical,Persons on Roadbed,37
2025-01-01,B DIVISION,D,1,Police & Medical,"Public Conduct, Crime, Police Response",253
2025-01-01,B DIVISION,D,1,Police & Medical,Sick/Injured Customer,17
2025-01-01,B DIVISION,D,2,Crew Availability,Crew Availability,15
2025-01-01,B DIVISION,D,2,External Factors,External Agency or Utility,8
2025-01-01,B DIVISION,D,2,External Factors,External Debris on Roadbed,1
2025-01-01,B DIVISION,D,2,Infrastructure & Equipment,Braking,2
2025-01-01,B DIVISION,D,2,Infrastructure & Equipment,Door-Related,4
2025-01-01,B DIVISION,D,2,Infrastructure & Equipment,"Fire, Smoke, Debris",9
2025-01-01,B DIVISION,D,2,Infrastructure & Equipment,Other - CE,7
2025-01-01,B DIVISION,D,2,Infrastructure & Equipment,Other - Sig,37
2025-01-01,B DIVISION,D,2,Infrastructure & Equipment,Propulsion,10
2025-01-01,B DIVISION,D,2,Infrastructure & Equipment,Rail and Roadbed,4
2025-01-01,B DIVISION,D,2,Infrastructure & Equipment,Service Delivery,3
2025-01-01,B DIVISION,D,2,Operating Conditions,Other Operating Environment,18
2025-01-01,B DIVISION,D,2,Planned ROW Work,Subways Maintenance,36
2025-01-01,B DIVISION,D,2,Planned ROW Work,Work Equipment,5
2025-01-01,B DIVISION,D,2,Police & Medical,Persons on Roadbed,17
2025-01-01,B DIVISION,D,2,Police & Medical,"Public Conduct, Crime, Police Response",40
2025-01-01,B DIVISION,D,2,Police & Medical,Sick/Injured Customer,14
2025-01-01,B DIVISION,E,1,Crew Availability,Crew Availability,29
2025-01-01,B DIVISION,E,1,External Factors,External Agency or Utility,1
2025-01-01,B DIVISION,E,1,Infrastructure & Equipment,Braking,18
2025-01-01,B DIVISION,E,1,Infrastructure & Equipment,Door-Related,13
2025-01-01,B DIVISION,E,1,Infrastructure & Equipment,"Fire, Smoke, Debris",73
2025-01-01,B DIVISION,E,1,Infrastructure & Equipment,Other - CE,443
2025-01-01,B DIVISION,E,1,Infrastructure & Equipment,Other - Sig,123
2025-01-01,B DIVISION,E,1,Infrastructure & Equipment,Other Infrastructure,40
2025-01-01,B DIVISION,E,1,Infrastructure & Equipment,Other Internal Disruptions,10
2025-01-01,B DIVISION,E,1,Infrastructure & Equipment,Propulsion,19
2025-01-01,B DIVISION,E,1,Infrastructure & Equipment,Rail and Roadbed,16
2025-01-01,B DIVISION,E,1,Infrastructure & Equipment,Service Delivery,30
2025-01-01,B DIVISION,E,1,Infrastructure & Equipment,Signal Modernization Capital Project,63
2025-01-01,B DIVISION,E,1,Infrastructure & Equipment,Train Brake Activation - Cause Unknown,18
2025-01-01,B DIVISION,E,1,Operating Conditions,Other Operating Environment,41
2025-01-01,B DIVISION,E,1,Planned ROW Work,Capital Work - Other Planned ROW,23
2025-01-01,B DIVISION,E,1,Planned ROW Work,Subways Maintenance,595
2025-01-01,B DIVISION,E,1,Planned ROW Work,Work Equipment,10
2025-01-01,B DIVISION,E,1,Police & Medical,Persons on Roadbed,92
2025-01-01,B DIVISION,E,1,Police & Medical,"Public Conduct, Crime, Police Response",110
2025-01-01,B DIVISION,E,1,Police & Medical,Sick/Injured Customer,67
2025-01-01,B DIVISION,E,2,Crew Availability,Crew Availability,16
2025-01-01,B DIVISION,E,2,External Factors,External Debris on Roadbed,1
2025-01-01,B DIVISION,E,2,Infrastructure & Equipment,Door-Related,3
2025-01-01,B DIVISION,E,2,Infrastructure & Equipment,"Fire, Smoke, Debris",1
2025-01-01,B DIVISION,E,2,Infrastructure & Equipment,Other - CE,2
2025-01-01,B DIVISION,E,2,Infrastructure & Equipment,Other - Sig,3
2025-01-01,B DIVISION,E,2,Infrastructure & Equipment,Other Infrastructure,2
2025-01-01,B DIVISION,E,2,Infrastructure & Equipment,Other Internal Disruptions,4
2025-01-01,B DIVISION,E,2,Infrastructure & Equipment,Rail and Roadbed,10
2025-01-01,B DIVISION,E,2,Infrastructure & Equipment,Service Delivery,10
2025-01-01,B DIVISION,E,2,Infrastructure & Equipment,Signal Modernization Capital Project,6
2025-01-01,B DIVISION,E,2,Operating Conditions,Other Operating Environment,5
2025-01-01,B DIVISION,E,2,Planned ROW Work,Capital Work - Other Planned ROW,6
2025-01-01,B DIVISION,E,2,Planned ROW Work,Subways Maintenance,152
2025-01-01,B DIVISION,E,2,Planned ROW Work,Work Equipment,5
2025-01-01,B DIVISION,E,2,Police & Medical,Persons on Roadbed,21
2025-01-01,B DIVISION,E,2,Police & Medical,"Public Conduct, Crime, Police Response",53
2025-01-01,B DIVISION,E,2,Police & Medical,Sick/Injured Customer,15
2025-01-01,B DIVISION,F,1,Crew Availability,Crew Availability,47
2025-01-01,B DIVISION,F,1,External Factors,Inclement Weather,6
2025-01-01,B DIVISION,F,1,Infrastructure & Equipment,Braking,30
2025-01-01,B DIVISION,F,1,Infrastructure & Equipment,Door-Related,6
2025-01-01,B DIVISION,F,1,Infrastructure & Equipment,"Fire, Smoke, Debris",30
2025-01-01,B DIVISION,F,1,Infrastructure & Equipment,Other - CE,869
2025-01-01,B DIVISION,F,1,Infrastructure & Equipment,Other - Sig,132
2025-01-01,B DIVISION,F,1,Infrastructure & Equipment,Other Infrastructure,102
2025-01-01,B DIVISION,F,1,Infrastructure & Equipment,Other Internal Disruptions,26
2025-01-01,B DIVISION,F,1,Infrastructure & Equipment,Propulsion,12
2025-01-01,B DIVISION,F,1,Infrastructure & Equipment,Rail and Roadbed,87
2025-01-01,B DIVISION,F,1,Infrastructure & Equipment,Service Delivery,45
2025-01-01,B DIVISION,F,1,Infrastructure & Equipment,Signal Modernization Capital Project,103
2025-01-01,B DIVISION,F,1,Infrastructure & Equipment,Train Brake Activation - Cause Unknown,20
2025-01-01,B DIVISION,F,1,Operating Conditions,Other Operating Environment,59
2025-01-01,B DIVISION,F,1,Planned ROW Work,Capital Work - Other Planned ROW,14
2025-01-01,B DIVISION,F,1,Planned ROW Work,Other Planned ROW Work,1
2025-01-01,B DIVISION,F,1,Planned ROW Work,Subways Maintenance,575
2025-01-01,B DIVISION,F,1,Planned ROW Work,Work Equipment,42
2025-01-01,B DIVISION,F,1,Police & Medical,Persons on Roadbed,181
2025-01-01,B DIVISION,F,1,Police & Medical,"Public Conduct, Crime, Police Response",271
2025-01-01,B DIVISION,F,1,Police & Medical,Sick/Injured Customer,42
2025-01-01,B DIVISION,F,2,Crew Availability,Crew Availability,22
2025-01-01,B DIVISION,F,2,External Factors,External Agency or Utility,1
2025-01-01,B DIVISION,F,2,Infrastructure & Equipment,Braking,1
2025-01-01,B DIVISION,F,2,Infrastructure & Equipment,Door-Related,9
2025-01-01,B DIVISION,F,2,Infrastructure & Equipment,"Fire, Smoke, Debris",5
2025-01-01,B DIVISION,F,2,Infrastructure & Equipment,Other - CE,2
2025-01-01,B DIVISION,F,2,Infrastructure & Equipment,Other - Sig,11
2025-01-01,B DIVISION,F,2,Infrastructure & Equipment,Other Internal Disruptions,8
2025-01-01,B DIVISION,F,2,Infrastructure & Equipment,Propulsion,1
2025-01-01,B DIVISION,F,2,Infrastructure & Equipment,Rail and Roadbed,28
2025-01-01,B DIVISION,F,2,Infrastructure & Equipment,Service Delivery,14
2025-01-01,B DIVISION,F,2,Infrastructure & Equipment,Signal Modernization Capital Project,14
2025-01-01,B DIVISION,F,2,Infrastructure & Equipment,Train Brake Activation - Cause Unknown,5
2025-01-01,B DIVISION,F,2,Operating Conditions,Other Operating Environment,11
2025-01-01,B DIVISION,F,2,Planned ROW Work,Capital Work - Other Planned ROW,69
2025-01-01,B DIVISION,F,2,Planned ROW Work,Subways Maintenance,105
2025-01-01,B DIVISION,F,2,Planned ROW Work,Work Equipment,5
2025-01-01,B DIVISION,F,2,Police & Medical,Persons on Roadbed,7
2025-01-01,B DIVISION,F,2,Police & Medical,"Public Conduct, Crime, Police Response",52
2025-01-01,B DIVISION,F,2,Police & Medical,Sick/Injured Customer,18
2025-01-01,B DIVISION,G,1,Crew Availability,Crew Availability,37
2025-01-01,B DIVISION,G,1,Infrastructure & Equipment,Braking,41
2025-01-01,B DIVISION,G,1,Infrastructure & Equipment,Door-Related,9
2025-01-01,B DIVISION,G,1,Infrastructure & Equipment,"Fire, Smoke, Debris",8
2025-01-01,B DIVISION,G,1,Infrastructure & Equipment,Other - CE,85
2025-01-01,B DIVISION,G,1,Infrastructure & Equipment,Other - Sig,261
2025-01-01,B DIVISION,G,1,Infrastructure & Equipment,Other Infrastructure,62
2025-01-01,B DIVISION,G,1,Infrastructure & Equipment,Other Internal Disruptions,2
2025-01-01,B DIVISION,G,1,Infrastructure & Equipment,Propulsion,9
2025-01-01,B DIVISION,G,1,Infrastructure & Equipment,Rail and Roadbed,43
2025-01-01,B DIVISION,G,1,Infrastructure & Equipment,Service Delivery,20
2025-01-01,B DIVISION,G,1,Infrastructure & Equipment,Signal Modernization Capital Project,17
2025-01-01,B DIVISION,G,1,Infrastructure & Equipment,Train Brake Activation - Cause Unknown,22
2025-01-01,B DIVISION,G,1,Operating Conditions,Other Operating Environment,340
2025-01-01,B DIVISION,G,1,Planned ROW Work,Capital Work - Other Planned ROW,164
2025-01-01,B DIVISION,G,1,Planned ROW Work,Subways Maintenance,583
2025-01-01,B DIVISION,G,1,Planned ROW Work,Work Equipment,8
2025-01-01,B DIVISION,G,1,Police & Medical,Persons on Roadbed,44
2025-01-01,B DIVISION,G,1,Police & Medical,"Public Conduct, Crime, Police Response",205
2025-01-01,B DIVISION,G,1,Police & Medical,Sick/Injured Customer,9
2025-01-01,B DIVISION,G,2,Crew Availability,Crew Availability,13
2025-01-01,B DIVISION,G,2,External Factors,Inclement Weather,4
2025-01-01,B DIVISION,G,2,Infrastructure & Equipment,Braking,5
2025-01-01,B DIVISION,G,2,Infrastructure & Equipment,Door-Related,13
2025-01-01,B DIVISION,G,2,Infrastructure & Equipment,"Fire, Smoke, Debris",4
2025-01-01,B DIVISION,G,2,Infrastructure & Equipment,Other - CE,6
2025-01-01,B DIVISION,G,2,Infrastructure & Equipment,Other - Sig,28
2025-01-01,B DIVISION,G,2,Infrastructure & Equipment,Other Internal Disruptions,2
2025-01-01,B DIVISION,G,2,Infrastructure & Equipment,Propulsion,1
2025-01-01,B DIVISION,G,2,Infrastructure & Equipment,Rail and Roadbed,37
2025-01-01,B DIVISION,G,2,Infrastructure & Equipment,Service Delivery,9
2025-01-01,B DIVISION,G,2,Infrastructure & Equipment,Signal Modernization Capital Project,2
2025-01-01,B DIVISION,G,2,Infrastructure & Equipment,Train Brake Activation - Cause Unknown,6
2025-01-01,B DIVISION,G,2,Operating Conditions,Other Operating Environment,128
2025-01-01,B DIVISION,G,2,Planned ROW Work,Subways Maintenance,197
2025-01-01,B DIVISION,G,2,Planned ROW Work,Work Equipment,1
2025-01-01,B DIVISION,G,2,Police & Medical,Persons on Roadbed,20
2025-01-01,B DIVISION,G,2,Police & Medical,"Public Conduct, Crime, Police Response",250
2025-01-01,B DIVISION,G,2,Police & Medical,Sick/Injured Customer,13
2025-01-01,B DIVISION,JZ,1,Crew Availability,Crew Availability,42
2025-01-01,B DIVISION,JZ,1,External Factors,External Debris on Roadbed,2
2025-01-01,B DIVISION,JZ,1,Infrastructure & Equipment,Braking,16
2025-01-01,B DIVISION,JZ,1,Infrastructure & Equipment,Door-Related,28
2025-01-01,B DIVISION,JZ,1,Infrastructure & Equipment,Other - CE,13
2025-01-01,B DIVISION,JZ,1,Infrastructure & Equipment,Other - Sig,81
2025-01-01,B DIVISION,JZ,1,Infrastructure & Equipment,Other Infrastructure,1
2025-01-01,B DIVISION,JZ,1,Infrastructure & Equipment,Other Internal Disruptions,3
2025-01-01,B DIVISION,JZ,1,Infrastructure & Equipment,Propulsion,8
2025-01-01,B DIVISION,JZ,1,Infrastructure & Equipment,Rail and Roadbed,35
2025-01-01,B DIVISION,JZ,1,Infrastructure & Equipment,Service Delivery,10
2025-01-01,B DIVISION,JZ,1,Operating Conditions,Other Operating Environment,35
2025-01-01,B DIVISION,JZ,1,Planned ROW Work,Capital Work - Other Planned ROW,59
2025-01-01,B DIVISION,JZ,1,Planned ROW Work,Subways Maintenance,157
2025-01-01,B DIVISION,JZ,1,Planned ROW Work,Work Equipment,6
2025-01-01,B DIVISION,JZ,1,Police & Medical,Persons on Roadbed,22
2025-01-01,B DIVISION,JZ,1,Police & Medical,"Public Conduct, Crime, Police Response",124
2025-01-01,B DIVISION,JZ,1,Police & Medical,Sick/Injured Customer,59
2025-01-01,B DIVISION,JZ,2,Crew Availability,Crew Availability,5
2025-01-01,B DIVISION,JZ,2,External Factors,External Debris on Roadbed,11
2025-01-01,B DIVISION,JZ,2,Infrastructure & Equipment,Braking,25
2025-01-01,B DIVISION,JZ,2,Infrastructure & Equipment,"Fire, Smoke, Debris",1
2025-01-01,B DIVISION,JZ,2,Infrastructure & Equipment,Other - CE,5
2025-01-01,B DIVISION,JZ,2,Infrastructure & Equipment,Other - Sig,6
2025-01-01,B DIVISION,JZ,2,Infrastructure & Equipment,Propulsion,2
2025-01-01,B DIVISION,JZ,2,Infrastructure & Equipment,Service Delivery,9
2025-01-01,B DIVISION,JZ,2,Infrastructure & Equipment,Train Brake Activation - Cause Unknown,2
2025-01-01,B DIVISION,JZ,2,Operating Conditions,Other Operating Environment,10
2025-01-01,B DIVISION,JZ,2,Planned ROW Work,Capital Work - Other Planned ROW,14
2025-01-01,B DIVISION,JZ,2,Planned ROW Work,Subways Maintenance,44
2025-01-01,B DIVISION,JZ,2,Planned ROW Work,Work Equipment,6
2025-01-01,B DIVISION,JZ,2,Police & Medical,Persons on Roadbed,3
2025-01-01,B DIVISION,JZ,2,Police & Medical,"Public Conduct, Crime, Police Response",33
2025-01-01,B DIVISION,JZ,2,Police & Medical,Sick/Injured Customer,8
2025-01-01,B DIVISION,L,1,Crew Availability,Crew Availability,44
2025-01-01,B DIVISION,L,1,External Factors,External Debris on Roadbed,49
2025-01-01,B DIVISION,L,1,Infrastructure & Equipment,Braking,44
2025-01-01,B DIVISION,L,1,Infrastructure & Equipment,Door-Related,30
2025-01-01,B DIVISION,L,1,Infrastructure & Equipment,"Fire, Smoke, Debris",21
2025-01-01,B DIVISION,L,1,Infrastructure & Equipment,Other - CE,61
2025-01-01,B DIVISION,L,1,Infrastructure & Equipment,Other - Sig,92
2025-01-01,B DIVISION,L,1,Infrastructure & Equipment,Other Infrastructure,35
2025-01-01,B DIVISION,L,1,Infrastructure & Equipment,Other Internal Disruptions,4
2025-01-01,B DIVISION,L,1,Infrastructure & Equipment,Propulsion,11
2025-01-01,B DIVISION,L,1,Infrastructure & Equipment,Rail and Roadbed,91
2025-01-01,B DIVISION,L,1,Infrastructure & Equipment,Service Delivery,12
2025-01-01,B DIVISION,L,1,Infrastructure & Equipment,Train Brake Activation - Cause Unknown,10
2025-01-01,B DIVISION,L,1,Operating Conditions,Other Operating Environment,18
2025-01-01,B DIVISION,L,1,Planned ROW Work,Capital Work - Other Planned ROW,6
2025-01-01,B DIVISION,L,1,Planned ROW Work,Subways Maintenance,185
2025-01-01,B DIVISION,L,1,Planned ROW Work,Work Equipment,24
2025-01-01,B DIVISION,L,1,Police & Medical,Persons on Roadbed,17
2025-01-01,B DIVISION,L,1,Police & Medical,"Public Conduct, Crime, Police Response",215
2025-01-01,B DIVISION,L,1,Police & Medical,Sick/Injured Customer,75
2025-01-01,B DIVISION,L,2,Crew Availability,Crew Availability,5
2025-01-01,B DIVISION,L,2,Infrastructure & Equipment,Door-Related,12
2025-01-01,B DIVISION,L,2,Infrastructure & Equipment,Other - CE,7
2025-01-01,B DIVISION,L,2,Infrastructure & Equipment,Other - Sig,45
2025-01-01,B DIVISION,L,2,Infrastructure & Equipment,Other Infrastructure,50
2025-01-01,B DIVISION,L,2,Infrastructure & Equipment,Rail and Roadbed,108
2025-01-01,B DIVISION,L,2,Operating Conditions,Other Operating Environment,1
2025-01-01,B DIVISION,L,2,Planned ROW Work,Subways Maintenance,16
2025-01-01,B DIVISION,L,2,Planned ROW Work,Work Equipment,1
2025-01-01,B DIVISION,L,2,Police & Medical,"Public Conduct, Crime, Police Response",45
2025-01-01,B DIVISION,L,2,Police & Medical,Sick/Injured Customer,10
2025-01-01,B DIVISION,M,1,Crew Availability,Crew Availability,56
2025-01-01,B DIVISION,M,1,External Factors,External Debris on Roadbed,16
2025-01-01,B DIVISION,M,1,Infrastructure & Equipment,Braking,37
2025-01-01,B DIVISION,M,1,Infrastructure & Equipment,Door-Related,6
2025-01-01,B DIVISION,M,1,Infrastructure & Equipment,"Fire, Smoke, Debris",27
2025-01-01,B DIVISION,M,1,Infrastructure & Equipment,Other - CE,11
2025-01-01,B DIVISION,M,1,Infrastructure & Equipment,Other - Sig,51
2025-01-01,B DIVISION,M,1,Infrastructure & Equipment,Other Infrastructure,14
2025-01-01,B DIVISION,M,1,Infrastructure & Equipment,Other Internal Disruptions,1
2025-01-01,B DIVISION,M,1,Infrastructure & Equipment,Rail and Roadbed,5
2025-01-01,B DIVISION,M,1,Infrastructure & Equipment,Service Delivery,21
2025-01-01,B DIVISION,M,1,Infrastructure & Equipment,Signal Modernization Capital Project,15
2025-01-01,B DIVISION,M,1,Operating Conditions,Other Operating Environment,21
2025-01-01,B DIVISION,M,1,Planned ROW Work,Capital Work - Other Planned ROW,12
2025-01-01,B DIVISION,M,1,Planned ROW Work,Subways Maintenance,56
2025-01-01,B DIVISION,M,1,Planned ROW Work,Work Equipment,8
2025-01-01,B DIVISION,M,1,Police & Medical,Persons on Roadbed,100
2025-01-01,B DIVISION,M,1,Police & Medical,"Public Conduct, Crime, Police Response",124
2025-01-01,B DIVISION,M,1,Police & Medical,Sick/Injured Customer,28
2025-01-01,B DIVISION,M,2,Crew Availability,Crew Availability,2
2025-01-01,B DIVISION,M,2,External Factors,External Debris on Roadbed,5
2025-01-01,B DIVISION,M,2,Infrastructure & Equipment,Other - CE,4
2025-01-01,B DIVISION,M,2,Infrastructure & Equipment,Propulsion,17
2025-01-01,B DIVISION,M,2,Infrastructure & Equipment,Service Delivery,1
2025-01-01,B DIVISION,M,2,Infrastructure & Equipment,Train Brake Activation - Cause Unknown,3
2025-01-01,B DIVISION,M,2,Operating Conditions,Other Operating Environment,1
2025-01-01,B DIVISION,M,2,Planned ROW Work,Subways Maintenance,14
2025-01-01,B DIVISION,M,2,Planned ROW Work,Work Equipment,1
2025-01-01,B DIVISION,M,2,Police & Medical,"Public Conduct, Crime, Police Response",16
2025-01-01,B DIVISION,M,2,Police & Medical,Sick/Injured Customer,5
2025-01-01,B DIVISION,N,1,Crew Availability,Crew Availability,76
2025-01-01,B DIVISION,N,1,External Factors,External Debris on Roadbed,25
2025-01-01,B DIVISION,N,1,Infrastructure & Equipment,Braking,77
2025-01-01,B DIVISION,N,1,Infrastructure & Equipment,Door-Related,91
2025-01-01,B DIVISION,N,1,Infrastructure & Equipment,"Fire, Smoke, Debris",152
2025-01-01,B DIVISION,N,1,Infrastructure & Equipment,Other - CE,332
2025-01-01,B DIVISION,N,1,Infrastructure & Equipment,Other - Sig,297
2025-01-01,B DIVISION,N,1,Infrastructure & Equipment,Other Infrastructure,24
2025-01-01,B DIVISION,N,1,Infrastructure & Equipment,Other Internal Disruptions,1
2025-01-01,B DIVISION,N,1,Infrastructure & Equipment,Propulsion,57
2025-01-01,B DIVISION,N,1,Infrastructure & Equipment,Rail and Roadbed,165
2025-01-01,B DIVISION,N,1,Infrastructure & Equipment,Service Delivery,40
2025-01-01,B DIVISION,N,1,Infrastructure & Equipment,Signal Modernization Capital Project,1
2025-01-01,B DIVISION,N,1,Infrastructure & Equipment,Train Brake Activation - Cause Unknown,23
2025-01-01,B DIVISION,N,1,Operating Conditions,Other Operating Environment,118
2025-01-01,B DIVISION,N,1,Planned ROW Work,Capital Work - Other Planned ROW,3
2025-01-01,B DIVISION,N,1,Planned ROW Work,Subways Maintenance,431
2025-01-01,B DIVISION,N,1,Planned ROW Work,Work Equipment,81
2025-01-01,B DIVISION,N,1,Police & Medical,Persons on Roadbed,16
2025-01-01,B DIVISION,N,1,Police & Medical,"Public Conduct, Crime, Police Response",393
2025-01-01,B DIVISION,N,1,Police & Medical,Sick/Injured Customer,29
2025-01-01,B DIVISION,N,2,Crew Availability,Crew Availability,15
2025-01-01,B DIVISION,N,2,External Factors,External Agency or Utility,2
2025-01-01,B DIVISION,N,2,External Factors,External Debris on Roadbed,7
2025-01-01,B DIVISION,N,2,Infrastructure & Equipment,Braking,12
2025-01-01,B DIVISION,N,2,Infrastructure & Equipment,Door-Related,12
2025-01-01,B DIVISION,N,2,Infrastructure & Equipment,"Fire, Smoke, Debris",33
2025-01-01,B DIVISION,N,2,Infrastructure & Equipment,Other - CE,1
2025-01-01,B DIVISION,N,2,Infrastructure & Equipment,Other - Sig,27
2025-01-01,B DIVISION,N,2,Infrastructure & Equipment,Other Internal Disruptions,4
2025-01-01,B DIVISION,N,2,Infrastructure & Equipment,Propulsion,39
2025-01-01,B DIVISION,N,2,Infrastructure & Equipment,Rail and Roadbed,1
2025-01-01,B DIVISION,N,2,Infrastructure & Equipment,Service Delivery,10
2025-01-01,B DIVISION,N,2,Infrastructure & Equipment,Train Brake Activation - Cause Unknown,6
2025-01-01,B DIVISION,N,2,Operating Conditions,Other Operating Environment,31
2025-01-01,B DIVISION,N,2,Planned ROW Work,Capital Work - Other Planned ROW,15
2025-01-01,B DIVISION,N,2,Planned ROW Work,Subways Maintenance,116
2025-01-01,B DIVISION,N,2,Planned ROW Work,Work Equipment,21
2025-01-01,B DIVISION,N,2,Police & Medical,"Public Conduct, Crime, Police Response",60
2025-01-01,B DIVISION,N,2,Police & Medical,Sick/Injured Customer,20
2025-01-01,B DIVISION,Q,1,Crew Availability,Crew Availability,39
2025-01-01,B DIVISION,Q,1,External Factors,External Debris on Roadbed,13
2025-01-01,B DIVISION,Q,1,Infrastructure & Equipment,Braking,52
2025-01-01,B DIVISION,Q,1,Infrastructure & Equipment,Door-Related,24
2025-01-01,B DIVISION,Q,1,Infrastructure & Equipment,"Fire, Smoke, Debris",49
2025-01-01,B DIVISION,Q,1,Infrastructure & Equipment,Other - CE,136
2025-01-01,B DIVISION,Q,1,Infrastructure & Equipment,Other - Sig,124
2025-01-01,B DIVISION,Q,1,Infrastructure & Equipment,Other Infrastructure,8
2025-01-01,B DIVISION,Q,1,Infrastructure & Equipment,Propulsion,25
2025-01-01,B DIVISION,Q,1,Infrastructure & Equipment,Rail and Roadbed,64
2025-01-01,B DIVISION,Q,1,Infrastructure & Equipment,Service Delivery,65
2025-01-01,B DIVISION,Q,1,Infrastructure & Equipment,Signal Modernization Capital Project,2
2025-01-01,B DIVISION,Q,1,Infrastructure & Equipment,Train Brake Activation - Cause Unknown,19
2025-01-01,B DIVISION,Q,1,Operating Conditions,Other Operating Environment,80
2025-01-01,B DIVISION,Q,1,Planned ROW Work,Subways Maintenance,230
2025-01-01,B DIVISION,Q,1,Planned ROW Work,Work Equipment,23
2025-01-01,B DIVISION,Q,1,Police & Medical,Persons on Roadbed,56
2025-01-01,B DIVISION,Q,1,Police & Medical,"Public Conduct, Crime, Police Response",464
2025-01-01,B DIVISION,Q,1,Police & Medical,Sick/Injured Customer,46
2025-01-01,B DIVISION,Q,2,Crew Availability,Crew Availability,26
2025-01-01,B DIVISION,Q,2,Infrastructure & Equipment,Braking,6
2025-01-01,B DIVISION,Q,2,Infrastructure & Equipment,Door-Related,9
2025-01-01,B DIVISION,Q,2,Infrastructure & Equipment,"Fire, Smoke, Debris",26
2025-01-01,B DIVISION,Q,2,Infrastructure & Equipment,Other - Sig,3
2025-01-01,B DIVISION,Q,2,Infrastructure & Equipment,Other Infrastructure,6
2025-01-01,B DIVISION,Q,2,Infrastructure & Equipment,Propulsion,17
2025-01-01,B DIVISION,Q,2,Infrastructure & Equipment,Rail and Roadbed,5
2025-01-01,B DIVISION,Q,2,Infrastructure & Equipment,Service Delivery,5
2025-01-01,B DIVISION,Q,2,Operating Conditions,Other Operating Environment,19
2025-01-01,B DIVISION,Q,2,Planned ROW Work,Capital Work - Other Planned ROW,14
2025-01-01,B DIVISION,Q,2,Planned ROW Work,Subways Maintenance,85
2025-01-01,B DIVISION,Q,2,Planned ROW Work,Work Equipment,10
2025-01-01,B DIVISION,Q,2,Police & Medical,"Public Conduct, Crime, Police Response",70
2025-01-01,B DIVISION,Q,2,Police & Medical,Sick/Injured Customer,14
2025-01-01,B DIVISION,R,1,Crew Availability,Crew Availability,12
2025-01-01,B DIVISION,R,1,Infrastructure & Equipment,Braking,44
2025-01-01,B DIVISION,R,1,Infrastructure & Equipment,Door-Related,10
2025-01-01,B DIVISION,R,1,Infrastructure & Equipment,"Fire, Smoke, Debris",47
2025-01-01,B DIVISION,R,1,Infrastructure & Equipment,Other - CE,1206
2025-01-01,B DIVISION,R,1,Infrastructure & Equipment,Other - Sig,57
2025-01-01,B DIVISION,R,1,Infrastructure & Equipment,Other Infrastructure,48
2025-01-01,B DIVISION,R,1,Infrastructure & Equipment,Other Internal Disruptions,13
2025-01-01,B DIVISION,R,1,Infrastructure & Equipment,Propulsion,18
2025-01-01,B DIVISION,R,1,Infrastructure & Equipment,Rail and Roadbed,40
2025-01-01,B DIVISION,R,1,Infrastructure & Equipment,Service Delivery,10
2025-01-01,B DIVISION,R,1,Infrastructure & Equipment,Signal Modernization Capital Project,22
2025-01-01,B DIVISION,R,1,Infrastructure & Equipment,Train Brake Activation - Cause Unknown,3
2025-01-01,B DIVISION,R,1,Operating Conditions,Other Operating Environment,33
2025-01-01,B DIVISION,R,1,Planned ROW Work,Subways Maintenance,76
2025-01-01,B DIVISION,R,1,Planned ROW Work,Work Equipment,12
2025-01-01,B DIVISION,R,1,Police & Medical,Persons on Roadbed,36
2025-01-01,B DIVISION,R,1,Police & Medical,"Public Conduct, Crime, Police Response",101
2025-01-01,B DIVISION,R,1,Police & Medical,Sick/Injured Customer,35
2025-01-01,B DIVISION,R,2,Crew Availability,Crew Availability,18
2025-01-01,B DIVISION,R,2,Infrastructure & Equipment,Braking,6
2025-01-01,B DIVISION,R,2,Infrastructure & Equipment,Door-Related,3
2025-01-01,B DIVISION,R,2,Infrastructure & Equipment,"Fire, Smoke, Debris",4
2025-01-01,B DIVISION,R,2,Infrastructure & Equipment,Other - Sig,12
2025-01-01,B DIVISION,R,2,Infrastructure & Equipment,Other Infrastructure,1
2025-01-01,B DIVISION,R,2,Infrastructure & Equipment,Propulsion,23
2025-01-01,B DIVISION,R,2,Infrastructure & Equipment,Service Delivery,4
2025-01-01,B DIVISION,R,2,Infrastructure & Equipment,Signal Modernization Capital Project,1
2025-01-01,B DIVISION,R,2,Operating Conditions,Other Operating Environment,11
2025-01-01,B DIVISION,R,2,Planned ROW Work,Capital Work - Other Planned ROW,2
2025-01-01,B DIVISION,R,2,Planned ROW Work,Subways Maintenance,31
2025-01-01,B DIVISION,R,2,Planned ROW Work,Work Equipment,10
2025-01-01,B DIVISION,R,2,Police & Medical,"Public Conduct, Crime, Police Response",77
2025-01-01,B DIVISION,R,2,Police & Medical,Sick/Injured Customer,20
2025-01-01,B DIVISION,S Fkln,1,Infrastructure & Equipment,Braking,2
