month,division,line,day_type,period,num_timepoints_passing_wait _assessment,num_sched_timepoints,wait assessment
2025-02-01,B DIVISION,Q,2,offpeak,4143,5020,0.8252988
2025-02-01,B DIVISION,Q,1,peak,5554,7750,0.7166452
2025-02-01,B DIVISION,Q,2,peak,2203,2583,0.85288423
2025-02-01,B DIVISION,R,1,offpeak,10371,20413,0.5080586
2025-02-01,B DIVISION,R,2,offpeak,5354,6811,0.7860813
2025-02-01,B DIVISION,R,1,peak,4935,13261,0.3721439
2025-02-01,B DIVISION,R,2,peak,2892,3647,0.79298055
2025-02-01,B DIVISION,W,1,offpeak,5562,7535,0.73815525
2025-02-01,B DIVISION,W,2,offpeak,618,726,0.8512397
2025-02-01,B DIVISION,W,1,peak,3678,5593,0.65760773
2025-02-01,B DIVISION,W,2,peak,464,495,0.93737376
2025-03-01,A DIVISION,1,1,offpeak,19675,25440,0.7733884
2025-03-01,A DIVISION,1,2,offpeak,6960,8534,0.8155613
2025-03-01,A DIVISION,1,1,peak,12777,17051,0.74934024
2025-03-01,A DIVISION,1,2,peak,3390,4070,0.8329238
2025-03-01,A DIVISION,2,1,offpeak,19222,28676,0.67031664
2025-03-01,A DIVISION,2,2,offpeak,7357,9773,0.7527883
2025-03-01,A DIVISION,2,1,peak,11993,17996,0.6664259
2025-03-01,A DIVISION,2,2,peak,3686,4875,0.75610256
2025-03-01,A DIVISION,3,1,offpeak,16361,22506,0.7269617
2025-03-01,A DIVISION,3,2,offpeak,6367,7965,0.79937226
2025-03-01,A DIVISION,3,1,peak,10132,14042,0.72154963
2025-03-01,A DIVISION,3,2,peak,3148,3929,0.80122167
2025-03-01,A DIVISION,4,1,offpeak,23491,31317,0.7501038
2025-03-01,A DIVISION,4,2,offpeak,8146,10413,0.78229135
2025-03-01,A DIVISION,4,1,peak,15323,22593,0.6782189
2025-03-01,A DIVISION,4,2,peak,4472,5573,0.80244035
2025-03-01,A DIVISION,5,1,offpeak,16897,23621,0.71533805
2025-03-01,A DIVISION,5,2,offpeak,3442,4375,0.78674287
2025-03-01,A DIVISION,5,1,peak,13181,19836,0.66449887
2025-03-01,A DIVISION,5,2,peak,1838,2228,0.8249551
2025-03-01,A DIVISION,6,1,offpeak,22601,29236,0.77305377
2025-03-01,A DIVISION,6,2,offpeak,6444,7873,0.8184936
2025-03-01,A DIVISION,6,1,peak,14448,19854,0.7277123
2025-03-01,A DIVISION,6,2,peak,3330,3944,0.8443205
2025-03-01,A DIVISION,7,1,offpeak,14168,18559,0.7634032
2025-03-01,A DIVISION,7,2,offpeak,3890,4415,0.8810872
