month,borough,day_type,trip_type,route_id,period,number_of_trips_passing_wait,number_of_scheduled_trips,wait_assessment
2025-01-01,Brooklyn,1,LCL/LTD,B6,Off-Peak,33679,44650,0.754289
2025-01-01,Brooklyn,1,LCL/LTD,B6,Peak,12229,18597,0.657579
2025-01-01,Brooklyn,2,LCL/LTD,B6,Off-Peak,7092,9721,0.729555
2025-01-01,Brooklyn,2,LCL/LTD,B6,Peak,2732,3853,0.709058
2025-01-01,Brooklyn,1,LCL/LTD,B60,Off-Peak,10859,14895,0.729037
2025-01-01,Brooklyn,1,LCL/LTD,B60,Peak,4735,7520,0.629654
2025-01-01,Brooklyn,2,LCL/LTD,B60,Off-Peak,2357,3139,0.750876
2025-01-01,Brooklyn,2,LCL/LTD,B60,Peak,752,1075,0.699535
2025-01-01,Brooklyn,1,LCL/LTD,B61,Off-Peak,9916,12457,0.796018
2025-01-01,Brooklyn,1,LCL/LTD,B61,Peak,4330,5940,0.728956
2025-01-01,Brooklyn,2,LCL/LTD,B61,Off-Peak,3164,3751,0.843508
2025-01-01,Brooklyn,2,LCL/LTD,B61,Peak,1092,1363,0.801174
2025-01-01,Brooklyn,1,LCL/LTD,B62,Off-Peak,7665,10634,0.720801
2025-01-01,Brooklyn,1,LCL/LTD,B62,Peak,3005,4766,0.630508
2025-01-01,Brooklyn,2,LCL/LTD,B62,Off-Peak,2200,2973,0.739993
2025-01-01,Brooklyn,2,LCL/LTD,B62,Peak,740,1056,0.700758
2025-01-01,Brooklyn,1,LCL/LTD,B63,Off-Peak,11321,13908,0.813992
2025-01-01,Brooklyn,1,LCL/LTD,B63,Peak,4672,6597,0.708201
2025-01-01,Brooklyn,2,LCL/LTD,B63,Off-Peak,3301,4343,0.760074
2025-01-01,Brooklyn,2,LCL/LTD,B63,Peak,1182,1620,0.72963
2025-01-01,Brooklyn,1,LCL/LTD,B64,Off-Peak,6815,8377,0.813537
2025-01-01,Brooklyn,1,LCL/LTD,B64,Peak,2874,4308,0.667131
2025-01-01,Brooklyn,2,LCL/LTD,B64,Off-Peak,2203,2982,0.738766
2025-01-01,Brooklyn,2,LCL/LTD,B64,Peak,857,1181,0.725656
2025-01-01,Brooklyn,1,LCL/LTD,B65,Off-Peak,6409,9077,0.70607
2025-01-01,Brooklyn,1,LCL/LTD,B65,Peak,2518,4040,0.623267
