month,borough,day_type,trip_type,route_id,period,number_of_trips_passing_wait,number_of_scheduled_trips,wait_assessment
2015-01-01,Brooklyn,1,LCL/LTD,B103,Peak,5561,8523,0.652469788
2015-01-01,Brooklyn,1,LCL/LTD,B11,Off-Peak,9894,12394,0.798289495
2015-01-01,Brooklyn,1,LCL/LTD,B11,Peak,4431,6407,0.691587326
2015-01-01,Brooklyn,1,LCL/LTD,B12,Off-Peak,11416,15738,0.725378066
2015-01-01,Brooklyn,1,LCL/LTD,B12,Peak,3952,6513,0.606786427
2015-01-01,Brooklyn,1,LCL/LTD,B13,Off-Peak,8039,10090,0.796729435
2015-01-01,Brooklyn,1,LCL/LTD,B13,Peak,3521,5207,0.676205109
2015-01-01,Brooklyn,1,LCL/LTD,B14,Off-Peak,7367,9467,0.778176825
2015-01-01,Brooklyn,1,LCL/LTD,B14,Peak,2768,4268,0.648547329
2015-01-01,Brooklyn,1,LCL/LTD,B15,Off-Peak,15653,22228,0.704201908
2015-01-01,Brooklyn,1,LCL/LTD,B15,Peak,5025,8389,0.598998689
2015-01-01,Brooklyn,1,LCL/LTD,B16,Off-Peak,8284,10125,0.81817284
2015-01-01,Brooklyn,1,LCL/LTD,B16,Peak,4468,6301,0.709093795
2015-01-01,Brooklyn,1,LCL/LTD,B17,Off-Peak,8026,9855,0.814408929
2015-01-01,Brooklyn,1,LCL/LTD,B17,Peak,3601,5279,0.682136768
2015-01-01,Brooklyn,1,LCL/LTD,B2,Off-Peak,2820,3121,0.903556552
2015-01-01,Brooklyn,1,LCL/LTD,B2,Peak,1196,1526,0.783748362
2015-01-01,Brooklyn,1,LCL/LTD,B20,Off-Peak,12478,15333,0.8138003
2015-01-01,Brooklyn,1,LCL/LTD,B20,Peak,5083,7464,0.681002144
2015-01-01,Brooklyn,1,LCL/LTD,B24,Off-Peak,2989,3685,0.811126187
2015-01-01,Brooklyn,1,LCL/LTD,B24,Peak,1163,1814,0.641124587
2015-01-01,Brooklyn,1,LCL/LTD,B25,Off-Peak,9785,13072,0.748546512
2015-01-01,Brooklyn,1,LCL/LTD,B25,Peak,3327,5275,0.6307109
2015-01-01,Brooklyn,1,LCL/LTD,B26,Off-Peak,11536,14608,0.789704272
2015-01-01,Brooklyn,1,LCL/LTD,B26,Peak,4307,6409,0.672023717
2015-01-01,Brooklyn,1,LCL/LTD,B3,Off-Peak,14469,18039,0.80209546
2015-01-01,Brooklyn,1,LCL/LTD,B3,Peak,6214,8745,0.710577473
2015-01-01,Brooklyn,1,LCL/LTD,B31,Off-Peak,3076,3333,0.922892289
2015-01-01,Brooklyn,1,LCL/LTD,B31,Peak,1282,1580,0.811392405
2015-01-01,Brooklyn,1,LCL/LTD,B32,Off-Peak,1089,1216,0.895559211
2015-01-01,Brooklyn,1,LCL/LTD,B32,Peak,488,682,0.715542522
